age,home_owner,income,months_employed,years_employed,personal_account_m,personal_account_y,has_debt,amount_requested,risk_score,risk_score_2,risk_score_3,risk_score_5,ext_quality_score,ext_quality_score_2,inquiries_last_month
59,0,5030,0,4,6,2,1,400,89200,0.803596639,0.958643832,0.759217094,0.67733,0.77733,5
35,1,2050,0,2,2,3,0,600,59500,0.553470588,0.845113575,0.701964026,0.717481,0.517481,5
57,1,3205,0,4,5,3,1,1400,83650,0.746028571,0.92260729,0.873821632,0.84753,0.64753,6
29,0,3600,0,6,1,5,1,700,56450,0.534609244,0.846280751,0.888331275,0.713363,0.413363,12
31,1,3505,0,5,2,4,1,700,66450,0.758355462,0.973076405,0.644591164,0.812113,0.712113,5
54,0,7250,0,2,1,4,1,800,32850,0.567121008,0.933841354,0.698146014,0.492046,0.692046,11
43,1,3035,0,6,7,3,1,1000,74850,0.546084034,0.922551176,0.92678949,0.406679,0.406679,5
55,0,3785,0,10,1,4,1,600,65050,0.584369748,0.843957623,0.833451844,0.770676,0.770676,6
67,0,3780,0,6,2,6,0,800,49000,0.668817647,0.91478497,0.491925444,0.622499,0.722499,12
40,0,5255,0,2,1,4,1,1100,73150,0.708267227,0.977688993,0.741155552,0.864182,0.564182,2
66,0,5015,0,4,2,5,1,400,40650,0.622651261,0.868782546,0.686734761,0.430144,0.630144,12
26,0,2055,5,2,6,3,1,800,50650,0.688252941,0.817090142,0.619667126,0.74342,0.44342,5
45,0,3125,6,0,6,4,1,600,66600,0.646890756,0.932730293,0.76148206,0.612273,0.712273,9
51,0,2565,0,6,3,3,1,1100,61200,0.604983193,0.861959059,0.514439907,0.522282,0.522282,5
38,0,5240,3,1,2,7,0,400,78200,0.754703361,0.841802837,0.533725916,0.465344,0.765344,3
53,0,5015,0,10,1,3,0,3200,62550,0.693417647,0.902372509,0.757276428,0.643939,0.643939,12
33,1,3685,0,3,2,4,1,400,60250,0.525260504,0.91478497,0.630072963,0.516842,0.416842,5
24,0,3080,0,2,6,2,1,800,74050,0.68409916,0.877671036,0.847266682,0.557583,0.857583,4
